session ID,session_duration,total_pages_viewed,main_category_count,clothing_models_count,avg_price,max_price,min_price,price_range,country,cluster
1,9,3,4,9,42.111111111111114,57,28,29,29,0
2,10,2,3,8,50.0,67,38,29,29,0
3,6,2,3,6,42.166666666666664,48,28,20,21,0
4,4,3,2,4,45.25,62,33,29,21,0
5,1,1,1,1,57.0,57,57,0,9,3
6,5,3,2,5,42.8,57,33,24,9,0
7,11,4,4,11,37.81818181818182,62,28,34,29,0
8,9,3,2,9,37.888888888888886,57,20,37,9,0
9,3,2,2,3,41.0,57,28,29,29,0
10,5,1,2,5,45.4,57,28,29,16,0
11,1,1,1,1,72.0,72,72,0,9,3
12,7,2,3,6,50.142857142857146,57,33,24,29,0
13,3,1,1,3,38.0,43,28,15,38,1
14,1,1,1,1,43.0,43,43,0,9,1
15,25,3,3,25,47.52,67,28,39,21,2
16,2,1,1,2,30.5,33,28,5,29,1
17,7,4,3,7,38.57142857142857,57,18,39,9,0
18,11,2,2,10,49.45454545454545,82,28,54,9,0
19,5,2,3,5,39.0,48,33,15,29,0
20,3,2,2,3,36.333333333333336,38,33,5,29,1
21,7,1,3,7,40.714285714285715,67,23,44,29,0
22,4,2,1,4,44.0,62,38,24,9,0
23,3,3,3,3,41.0,57,33,24,29,0
24,6,2,3,6,42.666666666666664,57,33,24,29,0
25,2,1,2,2,43.0,48,38,10,9,1
26,2,1,1,2,50.0,62,38,24,29,3
27,5,1,3,5,46.8,57,38,19,9,0
28,6,1,3,6,42.5,65,28,37,29,0
29,3,1,1,3,44.333333333333336,62,28,34,29,0
30,11,3,3,11,39.72727272727273,62,28,34,29,0
31,12,4,3,9,44.25,57,26,31,29,0
32,3,2,2,3,38.0,43,33,10,29,1
33,21,4,3,19,41.61904761904762,72,28,44,29,2
34,2,1,2,2,52.5,57,48,9,24,3
35,5,2,2,5,50.4,62,33,29,24,0
36,2,1,1,1,33.0,33,33,0,29,1
37,7,2,3,7,48.857142857142854,62,28,34,29,0
38,4,2,2,4,45.25,62,33,29,29,0
39,2,2,2,2,38.0,48,28,20,41,1
40,7,2,2,7,48.42857142857143,82,33,49,9,0
41,2,2,1,2,30.5,33,28,5,9,1
42,1,1,1,1,43.0,43,43,0,29,1
43,23,2,1,11,52.869565217391305,62,38,24,9,0
44,11,3,3,11,50.63636363636363,67,33,34,9,0
45,3,2,1,3,43.666666666666664,60,33,27,12,0
46,1,1,1,1,62.0,62,62,0,9,3
47,5,2,2,5,46.6,67,33,34,29,0
48,3,1,2,3,38.0,38,38,0,29,1
49,41,4,3,40,43.53658536585366,82,20,62,9,2
50,4,1,1,4,48.75,62,38,24,29,3
51,4,1,1,3,58.5,72,28,44,9,0
52,9,1,3,8,42.77777777777778,67,28,39,38,0
53,3,1,1,3,38.0,43,28,15,9,1
54,4,1,1,4,46.0,65,38,27,29,3
55,8,1,2,6,39.875,48,28,20,29,1
56,9,2,4,9,40.77777777777778,60,23,37,29,0
57,3,2,1,3,33.0,43,28,15,41,1
58,6,2,2,6,50.166666666666664,82,33,49,29,0
59,2,1,1,2,55.0,55,55,0,24,3
60,6,1,3,5,47.5,57,33,24,21,0
61,6,2,2,6,48.333333333333336,67,33,34,24,0
62,1,1,1,1,43.0,43,43,0,31,1
63,5,1,1,5,39.0,48,23,25,9,1
64,14,2,1,10,56.92857142857143,67,38,29,24,0
65,4,2,1,4,45.75,62,28,34,24,0
66,3,2,2,3,39.666666666666664,43,38,5,24,1
67,21,4,3,21,44.904761904761905,82,26,56,24,2
68,2,1,2,2,47.5,52,43,9,24,3
69,12,4,3,12,47.75,57,28,29,24,0
70,3,1,1,3,50.666666666666664,57,38,19,41,3
71,1,1,1,1,33.0,33,33,0,9,1
72,1,1,1,1,48.0,48,48,0,29,3
73,1,1,1,1,38.0,38,38,0,29,1
74,7,3,2,7,41.42857142857143,62,28,34,29,0
75,1,1,1,1,52.0,52,52,0,29,3
76,15,5,3,13,40.333333333333336,48,28,20,29,0
77,6,1,1,6,46.666666666666664,57,38,19,29,3
78,1,1,1,1,33.0,33,33,0,9,1
79,12,2,2,12,38.75,72,28,44,29,0
80,3,1,3,3,39.666666666666664,43,33,10,29,1
81,8,1,2,6,45.125,67,38,29,29,0
82,10,2,4,10,46.2,62,28,34,29,0
83,9,1,2,8,41.333333333333336,48,33,15,29,1
84,4,2,2,4,52.5,67,38,29,9,0
85,1,1,1,1,28.0,28,28,0,24,1
86,14,3,3,14,43.07142857142857,62,20,42,24,0
87,4,1,2,4,44.0,62,33,29,41,0
88,6,1,2,6,39.666666666666664,48,28,20,29,1
